date,actual,snn_prob,snn_spike_rate,confidence,decision,snn_correct,cost_taken,cost_baseline,saving_day,reason,cumulative_saving,cumulative_baseline,cumulative_direct
2024-03-11,1,0.5089,0.4469,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.509 < 0.52,0.0,36000.0,36000.0
2024-03-12,1,0.501,0.4414,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.501 < 0.52,0.0,72000.0,72000.0
2024-03-13,0,0.4865,0.432,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.486 < 0.52,0.0,108000.0,108000.0
2024-03-14,1,0.4793,0.4344,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.479 < 0.52,0.0,144000.0,144000.0
2024-03-15,0,0.4956,0.4367,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.496 < 0.52,0.0,180000.0,180000.0
2024-03-16,0,0.4821,0.4352,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.482 < 0.52,0.0,216000.0,216000.0
2024-03-17,0,0.4696,0.4328,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.470 < 0.52,0.0,252000.0,252000.0
2024-03-18,0,0.474,0.4336,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.474 < 0.52,0.0,288000.0,288000.0
2024-03-19,1,0.4718,0.4375,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.472 < 0.52,0.0,324000.0,324000.0
2024-03-20,1,0.4589,0.4391,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.459 < 0.52,0.0,360000.0,360000.0
2024-03-21,1,0.4433,0.4383,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.443 < 0.52,0.0,396000.0,396000.0
2024-03-22,0,0.4316,0.4398,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.432 < 0.52,0.0,432000.0,432000.0
2024-03-23,0,0.4434,0.4406,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.443 < 0.52,0.0,468000.0,468000.0
2024-03-24,1,0.4765,0.443,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.477 < 0.52,0.0,504000.0,504000.0
2024-03-25,0,0.4685,0.4445,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.468 < 0.52,0.0,540000.0,540000.0
2024-03-26,0,0.4615,0.4453,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.461 < 0.52,0.0,576000.0,576000.0
2024-03-27,1,0.4358,0.4289,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.436 < 0.52,0.0,612000.0,612000.0
2024-03-28,1,0.4383,0.4312,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.438 < 0.52,0.0,648000.0,648000.0
2024-03-29,0,0.443,0.4328,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.443 < 0.52,0.0,684000.0,684000.0
2024-03-30,0,0.4674,0.443,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.467 < 0.52,0.0,720000.0,720000.0
2024-03-31,0,0.4762,0.4547,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.476 < 0.52,0.0,756000.0,756000.0
2024-04-01,1,0.477,0.4625,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.477 < 0.52,0.0,792000.0,792000.0
2024-04-02,0,0.4758,0.4609,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.476 < 0.52,0.0,828000.0,828000.0
2024-04-03,1,0.4437,0.4617,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.444 < 0.52,0.0,864000.0,864000.0
2024-04-04,1,0.4261,0.4633,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.426 < 0.52,0.0,900000.0,900000.0
2024-04-05,0,0.4432,0.4609,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.443 < 0.52,0.0,936000.0,936000.0
2024-04-06,0,0.4255,0.4578,0.0,USD_FALLBACK,0,36000.0,36000.0,0.0,prob=0.425 < 0.52,0.0,972000.0,972000.0
